0,mins_elapsed,seconds_elapsed,6,8,18,20,30,32
2023-10-26 23:00:50,0,0.0,2.3,2.36,3.75,3.85,3.25,3.35
2023-10-26 23:00:51,0,1.0,2.3,2.36,3.75,3.88,3.25,3.35
2023-10-26 23:00:52,0,2.0,2.3,2.36,3.75,3.9,3.25,3.35
2023-10-26 23:00:53,0,3.0,2.3,2.36,3.75,3.9,3.25,3.35
2023-10-26 23:00:54,0,4.0,2.3,2.36,3.75,3.9,3.25,3.35
2023-10-26 23:00:55,0,5.0,2.3,2.36,3.75,3.9,3.25,3.35
2023-10-26 23:00:56,0,6.0,2.3,2.34,3.75,3.83,3.3,3.35
2023-10-26 23:00:57,0,7.0,2.32,2.34,3.75,3.81,3.3,3.35
2023-10-26 23:00:58,0,8.0,2.32,2.34,3.75,3.8,3.3,3.35
2023-10-26 23:00:59,0,9.0,2.32,2.34,3.75,3.8,3.3,3.35
2023-10-26 23:01:00,0,10.0,2.32,2.39,3.57,3.75,3.3,3.35
2023-10-26 23:01:01,0,11.0,2.32,2.4,3.58,3.75,3.3,3.35
2023-10-26 23:01:02,0,12.0,2.32,2.4,3.6,3.75,3.3,3.35
2023-10-26 23:01:03,0,13.0,2.32,2.4,3.6,3.75,3.3,3.35
2023-10-26 23:01:04,0,14.0,2.32,2.4,3.6,3.75,3.3,3.35
2023-10-26 23:01:05,0,15.0,2.32,2.4,3.6,3.75,3.3,3.35
2023-10-26 23:01:06,0,16.0,2.33,2.4,3.6,3.75,3.3,3.35
2023-10-26 23:01:07,0,17.0,2.34,2.4,3.6,3.75,3.3,3.35
2023-10-26 23:01:08,0,18.0,2.32,2.4,3.6,3.75,3.3,3.35
2023-10-26 23:01:09,0,19.0,2.3,2.32,3.65,3.75,3.3,3.35
2023-10-26 23:01:10,0,20.0,2.3,2.32,3.65,3.75,3.3,3.35
2023-10-26 23:01:11,0,21.0,2.3,2.32,3.65,3.75,3.3,3.35
2023-10-26 23:01:12,0,22.0,2.3,2.32,3.65,3.75,3.3,3.35
2023-10-26 23:01:13,0,23.0,2.3,2.32,3.65,3.75,3.3,3.35
2023-10-26 23:01:14,0,24.0,2.3,2.32,3.65,3.75,3.3,3.35
2023-10-26 23:01:15,0,25.0,2.3,2.32,3.65,3.75,3.3,3.35
2023-10-26 23:01:16,0,26.0,2.31,2.33,3.65,3.75,3.3,3.35
2023-10-26 23:01:17,0,27.0,2.32,2.36,3.65,3.75,3.3,3.35
2023-10-26 23:01:18,0,28.0,2.32,2.36,3.65,3.75,3.3,3.35
2023-10-26 23:01:19,0,29.0,2.32,2.36,3.65,3.75,3.3,3.35
2023-10-26 23:01:20,0,30.0,2.32,2.36,3.65,3.75,3.3,3.35
2023-10-26 23:01:21,0,31.0,2.3,2.36,3.65,3.75,3.3,3.35
2023-10-26 23:01:22,0,32.0,2.33,2.36,3.65,3.75,3.3,3.35
2023-10-26 23:01:23,0,33.0,2.28,2.3,3.7,3.75,3.3,3.35
2023-10-26 23:01:24,0,34.0,2.28,2.3,3.7,3.75,3.3,3.35
2023-10-26 23:01:25,0,35.0,2.28,2.32,3.7,3.75,3.3,3.35
2023-10-26 23:01:26,0,36.0,2.28,2.35,3.7,3.75,3.3,3.35
2023-10-26 23:01:27,0,37.0,2.3,2.34,3.7,3.75,3.3,3.35
2023-10-26 23:01:28,0,38.0,2.3,2.34,3.7,3.75,3.3,3.35
2023-10-26 23:01:29,0,39.0,2.3,2.34,3.7,3.75,3.3,3.35
2023-10-26 23:01:30,0,40.0,2.3,2.34,3.75,3.8,3.3,3.35
2023-10-26 23:01:31,0,41.0,2.3,2.32,3.75,3.8,3.3,3.35
2023-10-26 23:01:32,0,42.0,2.3,2.32,3.75,3.8,3.3,3.35
2023-10-26 23:01:33,0,43.0,2.3,2.32,3.75,3.8,3.3,3.35
2023-10-26 23:01:34,0,44.0,2.3,2.32,3.75,3.8,3.3,3.35
2023-10-26 23:01:35,0,45.0,2.3,2.32,3.75,3.8,3.3,3.35
2023-10-26 23:01:36,0,46.0,2.3,2.32,3.75,3.8,3.3,3.35
2023-10-26 23:01:37,0,47.0,2.3,2.32,3.75,3.8,3.3,3.35
2023-10-26 23:01:38,0,48.0,2.3,2.33,3.75,3.8,3.3,3.35
2023-10-26 23:01:39,0,49.0,2.3,2.34,3.72,3.78,3.3,3.35
2023-10-26 23:01:40,0,50.0,2.3,2.33,3.7,3.75,3.3,3.35
2023-10-26 23:01:41,0,51.0,2.3,2.32,3.7,3.75,3.3,3.35
2023-10-26 23:01:42,0,52.0,2.3,2.32,3.7,3.75,3.3,3.35
2023-10-26 23:01:43,0,53.0,2.3,2.32,3.7,3.75,3.3,3.35
2023-10-26 23:01:44,0,54.0,2.3,2.32,3.7,3.77,3.3,3.35
2023-10-26 23:01:45,0,55.0,2.3,2.32,3.75,3.8,3.3,3.35
2023-10-26 23:01:46,0,56.0,2.3,2.32,3.75,3.8,3.3,3.35
2023-10-26 23:01:47,0,57.0,2.3,2.33,3.75,3.8,3.3,3.35
2023-10-26 23:01:48,0,58.0,2.3,2.34,3.75,3.8,3.3,3.35
2023-10-26 23:01:49,0,59.0,2.3,2.34,3.75,3.8,3.3,3.35
2023-10-26 23:01:50,1,60.0,2.3,2.34,3.75,3.8,3.3,3.35
2023-10-26 23:01:51,1,61.0,2.3,2.32,3.75,3.8,3.3,3.35
2023-10-26 23:01:52,1,62.0,2.3,2.34,3.75,3.8,3.3,3.35
2023-10-26 23:01:53,1,63.0,2.3,2.34,3.75,3.8,3.3,3.35
2023-10-26 23:01:54,1,64.0,2.3,2.34,3.75,3.8,3.3,3.35
2023-10-26 23:01:55,1,65.0,2.3,2.34,3.75,3.8,3.3,3.35
2023-10-26 23:01:56,1,66.0,2.3,2.32,3.75,3.8,3.3,3.35
2023-10-26 23:01:57,1,67.0,2.3,2.32,3.73,3.78,3.3,3.35
2023-10-26 23:01:58,1,68.0,2.3,2.32,3.7,3.75,3.3,3.35
2023-10-26 23:01:59,1,69.0,2.3,2.34,3.7,3.75,3.3,3.35
2023-10-26 23:02:00,1,70.0,2.3,2.34,3.7,3.75,3.3,3.35
2023-10-26 23:02:01,1,71.0,2.31,2.34,3.7,3.75,3.3,3.35
2023-10-26 23:02:02,1,72.0,2.32,2.34,3.7,3.75,3.3,3.35
2023-10-26 23:02:03,1,73.0,2.32,2.34,3.7,3.75,3.3,3.35
2023-10-26 23:02:04,1,74.0,2.32,2.34,3.75,3.8,3.3,3.35
2023-10-26 23:02:05,1,75.0,2.32,2.34,3.75,3.8,3.3,3.35
2023-10-26 23:02:06,1,76.0,2.32,2.34,3.75,3.8,3.3,3.35
2023-10-26 23:02:07,1,77.0,2.32,2.34,3.75,3.8,3.3,3.35
2023-10-26 23:02:08,1,78.0,2.3,2.32,3.75,3.83,3.3,3.35
2023-10-26 23:02:09,1,79.0,2.3,2.32,3.75,3.84,3.3,3.35
2023-10-26 23:02:10,1,80.0,2.29,2.32,3.75,3.88,3.3,3.35
2023-10-26 23:02:11,1,81.0,2.28,2.31,3.8,3.9,3.3,3.35
2023-10-26 23:02:12,1,82.0,2.28,2.32,3.75,3.9,3.3,3.35
2023-10-26 23:02:13,1,83.0,2.28,2.31,3.75,3.9,3.3,3.35
2023-10-26 23:02:14,1,84.0,2.3,2.32,3.75,3.85,3.3,3.35
2023-10-26 23:02:15,1,85.0,2.3,2.32,3.77,3.85,3.3,3.35
2023-10-26 23:02:16,1,86.0,2.3,2.32,3.75,3.85,3.3,3.35
2023-10-26 23:02:17,1,87.0,2.3,2.32,3.78,3.83,3.3,3.35
2023-10-26 23:02:18,1,88.0,2.28,2.32,3.8,3.85,3.3,3.35
2023-10-26 23:02:19,1,89.0,2.27,2.29,3.8,3.85,3.3,3.35
2023-10-26 23:02:20,1,90.0,2.28,2.32,3.8,3.85,3.26,3.34
2023-10-26 23:02:21,1,91.0,2.3,2.34,3.8,3.85,3.25,3.32
2023-10-26 23:02:22,1,92.0,2.26,2.32,3.8,3.9,3.26,3.35
2023-10-26 23:02:23,1,93.0,2.26,2.32,3.8,3.9,3.3,3.35
2023-10-26 23:02:24,1,94.0,2.28,2.31,3.8,3.88,3.3,3.35
2023-10-26 23:02:25,1,95.0,2.26,2.3,3.85,3.9,3.3,3.35
2023-10-26 23:02:26,1,96.0,2.26,2.3,3.85,3.9,3.3,3.35
2023-10-26 23:02:27,1,97.0,2.26,2.3,3.85,3.9,3.3,3.35
2023-10-26 23:02:28,1,98.0,2.27,2.3,3.85,3.9,3.3,3.35
2023-10-26 23:02:29,1,99.0,2.28,2.3,3.85,3.9,3.3,3.35
2023-10-26 23:02:30,1,100.0,2.24,2.27,3.85,3.92,3.3,3.35
2023-10-26 23:02:31,1,101.0,2.22,2.26,3.85,4.0,3.3,3.35
2023-10-26 23:02:32,1,102.0,2.2,2.26,3.94,4.0,3.3,3.35
2023-10-26 23:02:33,1,103.0,2.2,2.26,3.95,4.0,3.3,3.35
2023-10-26 23:02:34,1,104.0,2.2,2.24,3.95,4.0,3.3,3.35
2023-10-26 23:02:35,1,105.0,2.2,2.22,3.95,4.0,3.3,3.35
2023-10-26 23:02:36,1,106.0,2.2,2.24,3.95,4.0,3.3,3.35
2023-10-26 23:02:37,1,107.0,2.2,2.25,3.95,4.0,3.3,3.35
2023-10-26 23:02:38,1,108.0,2.2,2.24,3.95,4.0,3.3,3.35
2023-10-26 23:02:39,1,109.0,2.23,2.26,3.95,4.0,3.25,3.33
2023-10-26 23:02:40,1,110.0,2.23,2.27,3.95,4.0,3.25,3.3
2023-10-26 23:02:41,1,111.0,2.22,2.24,3.95,4.0,3.25,3.3
2023-10-26 23:02:42,1,112.0,2.22,2.26,3.95,4.0,3.25,3.3
2023-10-26 23:02:43,1,113.0,2.22,2.28,3.95,4.0,3.25,3.3
2023-10-26 23:02:44,1,114.0,2.22,2.28,3.95,4.0,3.25,3.3
2023-10-26 23:02:45,1,115.0,2.22,2.28,3.95,4.0,3.25,3.3
2023-10-26 23:02:46,1,116.0,2.26,2.28,3.95,4.0,3.25,3.3
2023-10-26 23:02:47,1,117.0,2.26,2.28,3.95,4.0,3.25,3.3
2023-10-26 23:02:48,1,118.0,2.26,2.28,3.95,4.0,3.25,3.3
2023-10-26 23:02:49,1,119.0,2.26,2.28,3.95,4.0,3.25,3.3
2023-10-26 23:02:50,2,120.0,2.26,2.28,3.95,4.0,3.25,3.3
2023-10-26 23:02:51,2,121.0,2.26,2.28,3.95,4.0,3.25,3.3
2023-10-26 23:02:52,2,122.0,2.25,2.28,3.95,4.0,3.25,3.3
2023-10-26 23:02:53,2,123.0,2.24,2.26,3.95,4.0,3.25,3.3
2023-10-26 23:02:54,2,124.0,2.24,2.26,3.95,4.0,3.25,3.3
2023-10-26 23:02:55,2,125.0,2.24,2.26,3.95,4.0,3.25,3.3
2023-10-26 23:02:56,2,126.0,2.24,2.26,3.95,4.0,3.25,3.3
2023-10-26 23:02:57,2,127.0,2.24,2.26,3.95,4.0,3.25,3.3
2023-10-26 23:02:58,2,128.0,2.24,2.26,3.95,4.0,3.25,3.3
2023-10-26 23:02:59,2,129.0,2.24,2.26,3.95,4.0,3.25,3.3
2023-10-26 23:03:00,2,130.0,2.24,2.26,3.95,4.0,3.25,3.3
2023-10-26 23:03:01,2,131.0,2.24,2.26,3.95,4.0,3.25,3.3
2023-10-26 23:03:02,2,132.0,2.24,2.26,3.95,4.0,3.25,3.3
2023-10-26 23:03:03,2,133.0,2.24,2.27,3.95,4.0,3.25,3.3
2023-10-26 23:03:04,2,134.0,2.24,2.28,3.95,4.0,3.25,3.3
2023-10-26 23:03:05,2,135.0,2.24,2.28,3.95,4.0,3.25,3.3
2023-10-26 23:03:06,2,136.0,2.24,2.26,3.95,4.0,3.25,3.3
2023-10-26 23:03:07,2,137.0,2.25,2.28,3.95,4.0,3.25,3.3
2023-10-26 23:03:08,2,138.0,2.26,2.28,3.95,4.0,3.25,3.3
2023-10-26 23:03:09,2,139.0,2.26,2.28,3.9,3.99,3.25,3.3
2023-10-26 23:03:10,2,140.0,2.26,2.3,3.9,3.98,3.25,3.3
2023-10-26 23:03:11,2,141.0,2.26,2.3,3.9,3.95,3.25,3.3
2023-10-26 23:03:12,2,142.0,2.26,2.3,3.9,3.95,3.25,3.3
2023-10-26 23:03:13,2,143.0,2.26,2.3,3.9,3.95,3.25,3.3
2023-10-26 23:03:14,2,144.0,2.26,2.3,3.9,3.95,3.25,3.3
2023-10-26 23:03:15,2,145.0,2.26,2.3,3.9,3.95,3.25,3.3
2023-10-26 23:03:16,2,146.0,2.26,2.3,3.9,3.95,3.25,3.3
2023-10-26 23:03:17,2,147.0,2.26,2.3,3.9,3.95,3.25,3.3
2023-10-26 23:03:18,2,148.0,2.26,2.3,3.9,3.95,3.25,3.3
2023-10-26 23:03:19,2,149.0,2.28,2.3,3.9,3.95,3.25,3.3
2023-10-26 23:03:20,2,150.0,2.3,2.32,3.88,3.92,3.22,3.28
2023-10-26 23:03:21,2,151.0,2.32,2.34,3.85,3.9,3.2,3.25
2023-10-26 23:03:22,2,152.0,2.32,2.34,3.85,3.9,3.2,3.25
2023-10-26 23:03:23,2,153.0,2.32,2.34,3.85,3.9,3.2,3.25
2023-10-26 23:03:24,2,154.0,2.28,2.3,3.9,3.99,3.22,3.28
2023-10-26 23:03:25,2,155.0,2.26,2.29,3.88,3.97,3.23,3.28
2023-10-26 23:03:26,2,156.0,2.27,2.3,3.95,4.0,3.2,3.25
2023-10-26 23:03:27,2,157.0,2.26,2.3,3.95,4.0,3.2,3.25
2023-10-26 23:03:28,2,158.0,2.28,2.3,3.95,4.0,3.2,3.25
2023-10-26 23:03:29,2,159.0,2.28,2.3,3.95,4.0,3.2,3.25
2023-10-26 23:03:30,2,160.0,2.28,2.3,3.95,4.0,3.2,3.25
2023-10-26 23:03:31,2,161.0,2.28,2.3,3.86,3.98,3.2,3.25
2023-10-26 23:03:32,2,162.0,2.28,2.3,3.9,3.95,3.2,3.25
2023-10-26 23:03:33,2,163.0,2.28,2.3,3.9,3.95,3.2,3.25
2023-10-26 23:03:34,2,164.0,2.28,2.3,3.9,3.95,3.2,3.25
2023-10-26 23:03:35,2,165.0,2.28,2.3,3.9,3.95,3.2,3.25
2023-10-26 23:03:36,2,166.0,2.28,2.3,3.9,3.95,3.2,3.25
2023-10-26 23:03:37,2,167.0,2.28,2.3,3.9,3.95,3.2,3.25
2023-10-26 23:03:38,2,168.0,2.28,2.3,3.9,3.95,3.2,3.25
2023-10-26 23:03:39,2,169.0,2.28,2.3,3.9,3.95,3.2,3.25
2023-10-26 23:03:40,2,170.0,2.28,2.3,3.9,3.95,3.2,3.25
2023-10-26 23:03:41,2,171.0,2.28,2.3,3.9,3.95,3.2,3.25
2023-10-26 23:03:42,2,172.0,2.28,2.3,3.9,3.95,3.2,3.25
2023-10-26 23:03:43,2,173.0,2.28,2.3,3.9,3.95,3.2,3.25
2023-10-26 23:03:44,2,174.0,2.28,2.3,3.9,3.95,3.2,3.25
2023-10-26 23:03:45,2,175.0,2.28,2.3,3.9,3.95,3.2,3.25
2023-10-26 23:03:46,2,176.0,2.28,2.3,3.9,3.95,3.2,3.25
2023-10-26 23:03:47,2,177.0,2.28,2.3,3.9,3.95,3.2,3.25
2023-10-26 23:03:48,2,178.0,2.28,2.3,3.88,3.95,3.2,3.25
2023-10-26 23:03:49,2,179.0,2.28,2.3,3.85,3.92,3.2,3.25
2023-10-26 23:03:50,3,180.0,2.28,2.3,3.85,3.9,3.2,3.25
2023-10-26 23:03:51,3,181.0,2.29,2.33,3.78,3.87,3.2,3.25
2023-10-26 23:03:52,3,182.0,2.32,2.34,3.75,3.85,3.2,3.25
2023-10-26 23:03:53,3,183.0,2.32,2.34,3.8,3.85,3.2,3.25
2023-10-26 23:03:54,3,184.0,2.34,2.36,3.8,3.85,3.2,3.25
2023-10-26 23:03:55,3,185.0,2.34,2.36,3.8,3.85,3.2,3.25
2023-10-26 23:03:56,3,186.0,2.34,2.37,3.73,3.82,3.2,3.25
2023-10-26 23:03:57,3,187.0,2.34,2.37,3.71,3.84,3.2,3.25
2023-10-26 23:03:58,3,188.0,2.3,2.34,3.82,3.9,3.2,3.25
2023-10-26 23:03:59,3,189.0,2.3,2.34,3.82,3.89,3.2,3.25
2023-10-26 23:04:00,3,190.0,2.3,2.34,3.8,3.88,3.2,3.25
2023-10-26 23:04:01,3,191.0,2.3,2.34,3.8,3.85,3.2,3.25
2023-10-26 23:04:02,3,192.0,2.3,2.34,3.8,3.85,3.2,3.25
2023-10-26 23:04:03,3,193.0,2.3,2.34,3.8,3.85,3.2,3.25
2023-10-26 23:04:04,3,194.0,2.3,2.34,3.8,3.85,3.2,3.25
2023-10-26 23:04:05,3,195.0,2.31,2.34,3.8,3.85,3.2,3.25
2023-10-26 23:04:06,3,196.0,2.32,2.34,3.8,3.85,3.2,3.25
2023-10-26 23:04:07,3,197.0,2.32,2.34,3.8,3.85,3.2,3.25
2023-10-26 23:04:08,3,198.0,2.32,2.34,3.8,3.85,3.2,3.25
2023-10-26 23:04:09,3,199.0,2.32,2.34,3.8,3.85,3.2,3.25
2023-10-26 23:04:10,3,200.0,2.31,2.34,3.81,3.86,3.2,3.25
2023-10-26 23:04:11,3,201.0,2.3,2.34,3.85,3.9,3.2,3.25
2023-10-26 23:04:12,3,202.0,2.3,2.33,3.88,3.95,3.2,3.25
2023-10-26 23:04:13,3,203.0,2.28,2.34,3.85,3.95,3.2,3.25
2023-10-26 23:04:14,3,204.0,2.28,2.32,3.9,3.95,3.2,3.25
2023-10-26 23:04:15,3,205.0,2.28,2.32,3.88,3.95,3.2,3.25
2023-10-26 23:04:16,3,206.0,2.28,2.32,3.87,3.95,3.2,3.25
2023-10-26 23:04:17,3,207.0,2.29,2.32,3.85,3.95,3.2,3.25
2023-10-26 23:04:18,3,208.0,2.28,2.33,3.85,3.95,3.2,3.25
2023-10-26 23:04:19,3,209.0,2.29,2.32,3.9,3.95,3.2,3.25
2023-10-26 23:04:20,3,210.0,2.3,2.32,3.9,3.95,3.2,3.25
2023-10-26 23:04:21,3,211.0,2.3,2.32,3.9,3.95,3.2,3.25
2023-10-26 23:04:22,3,212.0,2.3,2.32,3.9,3.95,3.2,3.25
2023-10-26 23:04:23,3,213.0,2.3,2.32,3.9,3.95,3.2,3.25
2023-10-26 23:04:24,3,214.0,2.29,2.31,3.9,3.95,3.2,3.25
2023-10-26 23:04:25,3,215.0,2.28,2.32,3.9,3.95,3.2,3.25
2023-10-26 23:04:26,3,216.0,2.28,2.31,3.9,3.95,3.2,3.25
2023-10-26 23:04:27,3,217.0,2.28,2.32,3.83,3.92,3.2,3.25
2023-10-26 23:04:28,3,218.0,2.28,2.32,3.8,3.9,3.2,3.25
2023-10-26 23:04:29,3,219.0,2.29,2.33,3.8,3.9,3.2,3.25
2023-10-26 23:04:30,3,220.0,2.34,2.36,3.8,3.85,3.2,3.25
2023-10-26 23:04:31,3,221.0,2.33,2.36,3.8,3.88,3.2,3.25
2023-10-26 23:04:32,3,222.0,2.34,2.36,3.8,3.85,3.2,3.25
2023-10-26 23:04:33,3,223.0,2.34,2.36,3.8,3.85,3.2,3.25
2023-10-26 23:04:34,3,224.0,2.34,2.36,3.8,3.85,3.2,3.25
2023-10-26 23:04:35,3,225.0,2.34,2.36,3.8,3.85,3.2,3.25
2023-10-26 23:04:36,3,226.0,2.34,2.36,3.8,3.85,3.2,3.25
2023-10-26 23:04:37,3,227.0,2.34,2.36,3.8,3.85,3.2,3.25
2023-10-26 23:04:38,3,228.0,2.32,2.34,3.8,3.85,3.2,3.25
2023-10-26 23:04:39,3,229.0,2.32,2.36,3.8,3.85,3.2,3.25
2023-10-26 23:04:40,3,230.0,2.32,2.36,3.8,3.85,3.2,3.25
2023-10-26 23:04:41,3,231.0,2.32,2.34,3.8,3.85,3.2,3.25
2023-10-26 23:04:42,3,232.0,2.32,2.34,3.8,3.85,3.2,3.25
2023-10-26 23:04:43,3,233.0,2.32,2.34,3.8,3.85,3.2,3.25
2023-10-26 23:04:44,3,234.0,2.32,2.34,3.8,3.85,3.2,3.25
2023-10-26 23:04:45,3,235.0,2.32,2.34,3.8,3.85,3.2,3.25
2023-10-26 23:04:46,3,236.0,2.32,2.34,3.8,3.85,3.2,3.25
2023-10-26 23:04:47,3,237.0,2.32,2.34,3.8,3.85,3.2,3.25
2023-10-26 23:04:48,3,238.0,2.32,2.34,3.8,3.85,3.2,3.25
2023-10-26 23:04:49,3,239.0,2.32,2.34,3.8,3.85,3.2,3.25
2023-10-26 23:04:50,4,240.0,2.32,2.34,3.8,3.85,3.2,3.25
2023-10-26 23:04:51,4,241.0,2.32,2.34,3.8,3.85,3.2,3.25
2023-10-26 23:04:52,4,242.0,2.32,2.34,3.8,3.85,3.2,3.25
2023-10-26 23:04:53,4,243.0,2.33,2.35,3.8,3.85,3.2,3.25
2023-10-26 23:04:54,4,244.0,2.34,2.36,3.8,3.85,3.2,3.25
2023-10-26 23:04:55,4,245.0,2.34,2.36,3.8,3.85,3.2,3.25
2023-10-26 23:04:56,4,246.0,2.34,2.36,3.8,3.85,3.2,3.25
2023-10-26 23:04:57,4,247.0,2.34,2.36,3.8,3.85,3.2,3.25
2023-10-26 23:04:58,4,248.0,2.34,2.36,3.8,3.85,3.2,3.25
2023-10-26 23:04:59,4,249.0,2.34,2.36,3.8,3.85,3.2,3.25
2023-10-26 23:05:00,4,250.0,2.34,2.36,3.8,3.85,3.2,3.25
2023-10-26 23:05:01,4,251.0,2.34,2.36,3.8,3.85,3.2,3.25
2023-10-26 23:05:02,4,252.0,2.34,2.36,3.8,3.85,3.2,3.25
2023-10-26 23:05:03,4,253.0,2.34,2.36,3.8,3.85,3.2,3.25
2023-10-26 23:05:04,4,254.0,2.34,2.36,3.8,3.85,3.2,3.25
2023-10-26 23:05:05,4,255.0,2.33,2.35,3.8,3.85,3.2,3.25
2023-10-26 23:05:06,4,256.0,2.32,2.34,3.8,3.85,3.2,3.25
2023-10-26 23:05:07,4,257.0,2.32,2.34,3.8,3.85,3.2,3.25
2023-10-26 23:05:08,4,258.0,2.32,2.34,3.78,3.83,3.2,3.25
2023-10-26 23:05:09,4,259.0,2.32,2.34,3.75,3.8,3.2,3.25
2023-10-26 23:05:10,4,260.0,2.32,2.34,3.8,3.9,3.2,3.25
2023-10-26 23:05:11,4,261.0,2.32,2.34,3.8,3.9,3.2,3.25
2023-10-26 23:05:12,4,262.0,2.32,2.34,3.8,3.9,3.2,3.25
2023-10-26 23:05:13,4,263.0,2.32,2.34,3.8,3.9,3.2,3.25
2023-10-26 23:05:14,4,264.0,2.32,2.34,3.8,3.9,3.2,3.25
2023-10-26 23:05:15,4,265.0,2.32,2.34,3.8,3.9,3.2,3.25
2023-10-26 23:05:16,4,266.0,2.32,2.34,3.8,3.9,3.2,3.25
2023-10-26 23:05:17,4,267.0,2.32,2.34,3.8,3.9,3.2,3.25
2023-10-26 23:05:18,4,268.0,2.32,2.34,3.8,3.9,3.2,3.25
2023-10-26 23:05:19,4,269.0,2.32,2.34,3.82,3.9,3.2,3.25
2023-10-26 23:05:20,4,270.0,2.32,2.34,3.85,3.9,3.2,3.25
2023-10-26 23:05:21,4,271.0,2.32,2.34,3.85,3.9,3.2,3.25
2023-10-26 23:05:22,4,272.0,2.3,2.32,3.85,3.9,3.2,3.25
2023-10-26 23:05:23,4,273.0,2.3,2.32,3.85,3.9,3.2,3.25
2023-10-26 23:05:24,4,274.0,2.3,2.32,3.86,3.91,3.2,3.25
2023-10-26 23:05:25,4,275.0,2.3,2.32,3.9,3.95,3.2,3.25
2023-10-26 23:05:26,4,276.0,2.29,2.32,3.9,3.95,3.2,3.25
2023-10-26 23:05:27,4,277.0,2.28,2.32,3.9,3.95,3.2,3.25
2023-10-26 23:05:28,4,278.0,2.26,2.32,3.92,3.99,3.2,3.25
2023-10-26 23:05:29,4,279.0,2.26,2.32,3.9,4.0,3.2,3.25
2023-10-26 23:05:30,4,280.0,2.26,2.32,3.91,4.0,3.2,3.25
2023-10-26 23:05:31,4,281.0,2.3,2.32,3.95,4.0,3.2,3.25
2023-10-26 23:05:32,4,282.0,2.3,2.32,3.95,4.0,3.2,3.25
2023-10-26 23:05:33,4,283.0,2.3,2.32,3.95,4.0,3.2,3.25
2023-10-26 23:05:34,4,284.0,2.3,2.32,3.95,4.0,3.2,3.25
2023-10-26 23:05:35,4,285.0,2.3,2.32,3.95,4.0,3.2,3.25
2023-10-26 23:05:36,4,286.0,2.28,2.3,3.95,4.1,3.2,3.25
2023-10-26 23:05:37,4,287.0,2.28,2.3,3.98,4.1,3.2,3.25
2023-10-26 23:05:38,4,288.0,2.28,2.3,4.0,4.1,3.2,3.25
2023-10-26 23:05:39,4,289.0,2.28,2.3,4.0,4.1,3.2,3.25
2023-10-26 23:05:40,4,290.0,2.27,2.3,4.0,4.1,3.2,3.25
2023-10-26 23:05:41,4,291.0,2.26,2.3,4.0,4.1,3.2,3.25
2023-10-26 23:05:42,4,292.0,2.26,2.3,4.0,4.1,3.2,3.25
2023-10-26 23:05:43,4,293.0,2.26,2.3,4.0,4.1,3.19,3.25
2023-10-26 23:05:44,4,294.0,2.25,2.29,4.0,4.1,3.17,3.25
2023-10-26 23:05:45,4,295.0,2.24,2.28,4.0,4.1,3.2,3.25
2023-10-26 23:05:46,4,296.0,2.24,2.28,4.0,4.1,3.15,3.25
2023-10-26 23:05:47,4,297.0,2.24,2.28,4.0,4.1,3.15,3.25
2023-10-26 23:05:48,4,298.0,2.25,2.28,3.99,4.1,3.15,3.25
2023-10-26 23:05:49,4,299.0,2.26,2.28,3.97,4.03,3.18,3.25
2023-10-26 23:05:50,5,300.0,2.28,2.3,3.95,4.0,3.16,3.25
2023-10-26 23:05:51,5,301.0,2.26,2.28,3.95,4.0,3.2,3.25
2023-10-26 23:05:52,5,302.0,2.26,2.28,3.95,4.0,3.2,3.25
2023-10-26 23:05:53,5,303.0,2.26,2.28,3.95,4.1,3.15,3.25
2023-10-26 23:05:54,5,304.0,2.26,2.28,3.95,4.03,3.19,3.25
2023-10-26 23:05:55,5,305.0,2.26,2.28,3.95,4.0,3.2,3.25
2023-10-26 23:05:56,5,306.0,2.26,2.28,3.95,4.0,3.2,3.25
2023-10-26 23:05:57,5,307.0,2.26,2.28,3.95,4.0,3.2,3.25
2023-10-26 23:05:58,5,308.0,2.26,2.28,3.95,4.0,3.2,3.25
2023-10-26 23:05:59,5,309.0,2.26,2.28,4.0,4.1,3.2,3.25
2023-10-26 23:06:00,5,310.0,2.26,2.28,4.0,4.1,3.2,3.25
2023-10-26 23:06:01,5,311.0,2.26,2.28,4.0,4.1,3.2,3.25
2023-10-26 23:06:02,5,312.0,2.26,2.28,4.0,4.1,3.2,3.25
2023-10-26 23:06:03,5,313.0,2.26,2.28,4.0,4.1,3.2,3.25
2023-10-26 23:06:04,5,314.0,2.26,2.28,4.0,4.1,3.2,3.25
2023-10-26 23:06:05,5,315.0,2.26,2.28,4.0,4.1,3.2,3.25
2023-10-26 23:06:06,5,316.0,2.26,2.28,4.0,4.1,3.2,3.25
2023-10-26 23:06:07,5,317.0,2.26,2.28,4.0,4.1,3.2,3.25
2023-10-26 23:06:08,5,318.0,2.26,2.28,4.0,4.1,3.2,3.25
2023-10-26 23:06:09,5,319.0,2.26,2.28,4.0,4.1,3.2,3.25
2023-10-26 23:06:10,5,320.0,2.26,2.28,4.0,4.1,3.2,3.25
2023-10-26 23:06:11,5,321.0,2.26,2.28,4.0,4.1,3.2,3.25
2023-10-26 23:06:12,5,322.0,2.26,2.28,4.0,4.1,3.2,3.25
2023-10-26 23:06:13,5,323.0,2.26,2.28,4.0,4.1,3.2,3.25
